DATE,T5YIFR
2016-10-01,1.9500000000000000
2017-01-01,2.1483870967741935
2017-04-01,1.9326984126984127
2017-07-01,1.9414285714285714
2017-10-01,1.9953225806451613
2018-01-01,2.1809836065573770
2018-04-01,2.1850000000000000
2018-07-01,2.2125396825396825
2018-10-01,2.1481967213114754
2019-01-01,1.9881967213114754
2019-04-01,1.9449206349206349
2019-07-01,1.8345312500000000
2019-10-01,1.7558064516129032
2020-01-01,1.5729032258064516
2020-04-01,1.4831746031746032
2020-07-01,1.7154687500000000
2020-10-01,1.8745161290322581
2021-01-01,2.0539344262295082
2021-04-01,2.2237500000000000
2021-07-01,2.1850000000000000
2021-10-01,2.2447272727272727
